Site,EQUIPMENT_MAME,NETWORK_NAME,CLLI_CODE,VENDOR_NAME,ROW,RACK,Supervisor,Tel.,Source A,Source B
,,,,,,,,,,
'CN-PBI','OSN9800 U32','ID3138','ID3138','Huawei','14','20','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','ID360','ID360','Huawei','15','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','ID365','ID365','Huawei','15','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','ID697','ID697','Huawei','15','30','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500','ID1357','ID1357','Huawei','15','38','Suthas','0865159836',"'Rectifier F ,PDC11 F4,CB3'","Rectifier F ,PDC12 Q2 ,CB3'"
'CN-PBI','OSN3500 ','ID571LO#03','ID571_3','Huawei','15','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500 ','ID571LO#02','ID571_2','Huawei','15','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','ID197','ID197','Huawei','16','30','Suthas','0865159836',"'Rectifier A ,PDC 2/4'",'No Label'
'CN-PBI','BWS1600G','ID363','ID363','Huawei','16','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','ID364','ID364','Huawei','16','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','ID560','ID560','Huawei','16','32','Suthas','0865159836','No Label','No Label'
'CN-PBI','BWS1600G','ID656','ID656','Huawei','16','30','Suthas','0865159836',"'Rectifier A ,PDC 2/4'",'No Label'
'CN-PBI','BWS1600G','ID657','ID657','Huawei','16','30','Suthas','0865159836',"'Rectifier A ,PDC 2/4'",'No Label'
'CN-PBI','OSN3500','ID570','ID570','Huawei','16','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500','ID570','ID570','Huawei','16','31','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN3500','ID1510','ID1510','Huawei','16','38','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID2165_0','ID2165_0','Huawei','17','17A ','Suthas','0865159836',"'Rectifier A ,PDC2 Q1 ,CB5'","'Rectifier B ,PDC2 Q3 ,CB5'"
'CN-PBI','OSN8800','ID2165_0','ID2165_0','Huawei','17','17B','Suthas','0865159836',"'Rectifier A ,PDC3/1 Q1 ,CB1'","'Rectifier B ,PDC3/1 Q3 ,CB1'"
'CN-PBI','OSN6800','ID2165_1','ID2165_1','Huawei','17','17A ','Suthas','0865159836',"'Rectifier A ,PDC2 Q1 ,CB5'","'Rectifier B ,PDC2 Q3 ,CB5'"
'CN-PBI','OSN8800','ID2303_0','ID2303_0','Huawei','17','17B','Suthas','0865159836',"'Rectifier A ,PDC3/1 Q1 ,CB1'","'Rectifier B ,PDC3/1 Q3 ,CB1'"
'CN-PBI','PTN1900','ID58','ID58','Huawei','18','28','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','ID2165_5','ID2165_5','Huawei','19','39A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','ID2165_6','ID2165_6','Huawei','19','39A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1705_0','ID1705_0','Huawei','19','37A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1705_0','ID1705_0','Huawei','19','37B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1705_1','ID1705_1','Huawei','19','39A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1705_2','ID1705_2','Huawei','19','40A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1705_2','ID1705_2','Huawei','19','40B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1706_0','ID1706_0','Huawei','19','37A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1706_2','ID1706_2','Huawei','19','38A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1706_3','ID1706_3','Huawei','19','38A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','ID2700_0','ID2700_0','Huawei','19','40A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','ID2700_1','ID2700_1','Huawei','19','40A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','ID2701','ID2701','Huawei','19','34A ','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','ID2791','ID2791','Huawei','19','41A','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','ID2165_2','ID2165_2','Huawei','20','36B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','ID2165_3','ID2165_3','Huawei','20','36B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN6800','ID2165_4','ID2165_4','Huawei','20','36B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1705_3','ID1705_3','Huawei','20','39B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1706_1','ID1706_1','Huawei','20','37B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID1706_4','ID1706_4','Huawei','20','38B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN8800','ID2032_0','ID2032_0','Huawei','20','38B','Suthas','0865159836','No Label','No Label'
'CN-PBI','OSN9800','ID2700_2','ID2700_2','Huawei','20','40B','Suthas','0865159836','No Label','No Label'
